Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 0.0003}
====================================================================================================
step 3450 | loss 6.9482 | norm 791.3120 | time 1901.4037ms
step 3460 | loss 6.8128 | norm 5.6618 | time 1902.5636ms
step 3470 | loss 6.8267 | norm 137.1441 | time 1896.8332ms
step 3480 | loss 6.8457 | norm 2399.6074 | time 1902.1282ms
step 3490 | loss 6.7205 | norm 8364.9902 | time 1897.6231ms
step 3500 | loss 7.7861 | norm 45.0823 | time 1897.0535ms
step 3510 | loss 6.9036 | norm 22.4654 | time 1901.3393ms
step 3520 | loss 6.6173 | norm 3.4679 | time 1897.7430ms
step 3530 | loss 6.6771 | norm 435562.0938 | time 1899.8759ms
step 3540 | loss 6.7555 | norm 5652.1396 | time 1899.7087ms
step 3550 | loss 6.9232 | norm 46.3284 | time 1901.2160ms
step 3560 | loss 7.2317 | norm 762.7158 | time 1896.7264ms
step 3570 | loss 6.8290 | norm 28.0039 | time 1901.8228ms
step 3580 | loss 6.9820 | norm 885.7323 | time 1900.1267ms
step 3590 | loss 6.8136 | norm 9.5063 | time 1895.2308ms
step 3600 | loss 6.9339 | norm 56.6813 | time 1901.9504ms
step 3610 | loss 6.8137 | norm 857.9290 | time 1898.5634ms
step 3620 | loss 6.9318 | norm 101.7219 | time 1899.5335ms
step 3630 | loss 6.9888 | norm 423.2284 | time 1900.0008ms
step 3640 | loss 7.1989 | norm 533.8362 | time 1898.6776ms
step 3650 | loss 6.9247 | norm 249.7312 | time 1897.5449ms
step 3660 | loss 7.0857 | norm 1.8737 | time 1898.1006ms
step 3670 | loss 7.0428 | norm 321.8159 | time 1905.4308ms
step 3680 | loss 6.6022 | norm 4.1319 | time 1897.8789ms
step 3690 | loss 6.8786 | norm 376.1031 | time 1898.9229ms
step 3700 | loss 6.6433 | norm 3.7215 | time 1897.8689ms
step 3710 | loss 6.4208 | norm 9.7543 | time 1896.1678ms
step 3720 | loss 6.7143 | norm 19.8948 | time 1901.1586ms
step 3730 | loss 6.6496 | norm 5572.4570 | time 1897.6173ms
step 3740 | loss 7.0515 | norm 444475968.0000 | time 1897.9609ms
step 3750 | loss 6.5062 | norm 6224.3848 | time 1898.3142ms
step 3760 | loss 7.0101 | norm 3.9772 | time 1898.5023ms
step 3770 | loss 7.1119 | norm 18.0916 | time 1899.1702ms
step 3780 | loss 6.5195 | norm 2.7502 | time 1898.7560ms
step 3790 | loss 6.5920 | norm 49.7793 | time 1897.2187ms
step 3800 | loss 6.3282 | norm 11.2751 | time 1897.5019ms
step 3810 | loss 6.5044 | norm 451.8111 | time 1900.2326ms
step 3820 | loss 7.0911 | norm 27.8855 | time 1900.0201ms
